Date, Close/Last, Volume, Open, High, Low
03/23/2020, 1572.7, 95848, 1508.4, 1574.8, 1489.4
03/20/2020, 1484, 14, 1483.5, 1483.5, 1483.5
03/19/2020, 1479.3, 306016, 1487.2, 1502.8, 1460.1
03/18/2020, 1477.9, 412332, 1527.6, 1547, 1473.3
03/17/2020, 1524.9, 122, 1469.3, 1537.7, 1469.3
03/16/2020, 1486.5, 535860, 1563.8, 1574.8, 1450.9
03/13/2020, 1516.7, 524471, 1582.7, 1597.9, 1504
03/12/2020, 1590.3, 553457, 1633.1, 1651, 1560.4
03/11/2020, 1642.3, 373462, 1649.3, 1671.8, 1632.4
03/10/2020, 1659.1, 48, 1671.6, 1674.6, 1643
03/09/2020, 1675.7, 467110, 1692.6, 1704.3, 1658
03/06/2020, 1672.4, 619051, 1673.1, 1692.8, 1642.4
03/05/2020, 1666.4, 154, 1637.2, 1672.9, 1637.2
03/04/2020, 1643, 297251, 1640.1, 1654.3, 1632.6
03/03/2020, 1642.1, 610, 1594.5, 1645.3, 1594
03/02/2020, 1592.3, 537, 1583.9, 1608.3, 1574.3
02/28/2020, 1564.1, 289, 1640.3, 1642.5, 1564.8
02/27/2020, 1642.5, 560547, 1658, 1662.5, 1636.7
02/26/2020, 1643.1, 515771, 1640.8, 1643.8, 1640.3
02/25/2020, 1650, 654660, 1647, 1655.8, 1627
02/24/2020, 1676.6, 655245, 1674.2, 1674.4, 1652.8
02/21/2020, 1644.6, 186, 1619.3, 1645, 1619.3
02/20/2020, 1620.5, 389144, 1615, 1626.5, 1606.6
02/19/2020, 1611.8, 298536, 1604.8, 1615.9, 1602.4
02/18/2020, 1600, 310, 1587, 1604.3, 1579.8
02/14/2020, 1582.7, 68, 1575.8, 1582.4, 1574.8
02/13/2020, 1578.8, 264293, 1569.8, 1581.7, 1568.5
02/12/2020, 1571.6, 183410, 1571.2, 1573.6, 1564.4
02/11/2020, 1565.6, 440, 1570.9, 1571.1, 1561.9
02/10/2020, 1579.5, 186247, 1575.8, 1580.5, 1571.5
02/07/2020, 1568.6, 431, 1564.9, 1571.9, 1560.5
02/06/2020, 1570, 221612, 1560, 1571.9, 1556
02/05/2020, 1562.8, 297418, 1556.1, 1566.2, 1551.1
